gene,score,rank
ARFGEF3,1.1448077848636633e-06,295
CKAP5,1.1448077848636633e-06,295
RAP1A,1.1448077848636633e-06,295
KPNA4,1.0018695321604739e-06,300
BPHL,1.0018695321604739e-06,300
AHSA1,1.0018695321604739e-06,300
HUWE1,1.0018695321604739e-06,300
CAMK2G,1.0018695321604739e-06,300
CRIP2,1.0018695321604739e-06,300
EXOC7,1.0018695321604739e-06,300
ATPAF1,8.587453132804062e-07,307
CLASP2,8.587453132804062e-07,307
GLRX3,8.587453132804062e-07,307
EPS15,8.587453132804062e-07,307
CLPP,8.587453132804062e-07,307
ALG2,8.587453132804062e-07,307
ATP6V1D,8.587453132804062e-07,307
PRKACA,6.439543789858106e-07,314
DCLK2,6.439543789858106e-07,314
PITHD1,6.439543789858106e-07,314
ARHGDIA,6.439543789858106e-07,314
YWHAB,6.439543789858106e-07,314
MAP2,6.439543789858106e-07,314
USO1,6.439543789858106e-07,314
COPB1,6.439543789858106e-07,314
WDFY1,6.439543789858106e-07,314
CPT2,6.439543789858106e-07,314
VSNL1,6.439543789858106e-07,314
AP2A1,6.439543789858106e-07,314
AP2B1,6.439543789858106e-07,314
CLSTN1,6.439543789858106e-07,314
RAB11FIP5,6.439543789858106e-07,314
NRCAM,6.439543789858106e-07,314
RAB10,6.439543789858106e-07,314
DMXL2,6.439543789858106e-07,314
DBNL,6.439543789858106e-07,314
SBF1,6.439543789858106e-07,314
DTNA,6.439543789858106e-07,314
NMT1,2.862019462159158e-07,335
PDAP1,2.862019462159158e-07,335
BAG6,2.862019462159158e-07,335
CRYZ,2.862019462159158e-07,335
SH3GLB1,2.862019462159158e-07,335
PRKACB,2.862019462159158e-07,335
VAT1,2.862019462159158e-07,335
ARPC5,2.862019462159158e-07,335
ARRB1,2.862019462159158e-07,335
CAMK1,2.862019462159158e-07,335
DCTN6,2.862019462159158e-07,335
UBE2O,2.862019462159158e-07,335
SUGT1,2.862019462159158e-07,335
SMAP2,2.862019462159158e-07,335
HIP1,2.862019462159158e-07,335
TMEM30A,2.862019462159158e-07,335
CNTNAP1,2.862019462159158e-07,335
GDI2,2.862019462159158e-07,335
VWA8,2.862019462159158e-07,335
MPI,2.862019462159158e-07,335
ANK3,2.862019462159158e-07,335
PRKAR1A,2.862019462159158e-07,335
ASAP1,2.862019462159158e-07,335
AP2S1,2.862019462159158e-07,335
SACM1L,2.862019462159158e-07,335
ARFGEF1,2.862019462159158e-07,335
ARFGEF2,2.862019462159158e-07,335
RAB3GAP2,2.862019462159158e-07,335
RAB3GAP1,2.862019462159158e-07,335
RAP1GAP2,2.862019462159158e-07,335
COTL1,2.862019462159158e-07,335
CTNNB1,2.862019462159158e-07,335
GRB2,2.862019462159158e-07,335
WDR7,2.862019462159158e-07,335
PPME1,2.862019462159158e-07,335
TSG101,2.862019462159158e-07,335
PTGES3,2.862019462159158e-07,335
RABGAP1,2.862019462159158e-07,335
SNX7,2.862019462159158e-07,335
CDK14,2.862019462159158e-07,335
DPYSL3,2.862019462159158e-07,335
PTPN11,2.862019462159158e-07,335
TIMM8B,2.862019462159158e-07,335
GSTP1,2.862019462159158e-07,335
CSTB,2.862019462159158e-07,335
CUL2,2.862019462159158e-07,335
NCKAP1,2.862019462159158e-07,335
HNRNPF,2.862019462159158e-07,335
EIF4H,2.862019462159158e-07,335
TRIO,2.862019462159158e-07,335
ABAT,7.155048655397895e-08,385
CSNK2A1,7.155048655397895e-08,385
EIF5,7.155048655397895e-08,385
ACACA,7.155048655397895e-08,385
GLRX5,7.155048655397895e-08,385
IDH3G,7.155048655397895e-08,385
FIS1,7.155048655397895e-08,385
FLNA,7.155048655397895e-08,385
FLII,7.155048655397895e-08,385
ACTR10,7.155048655397895e-08,385
COPS2,7.155048655397895e-08,385
MOB4,7.155048655397895e-08,385
PPFIA2,7.155048655397895e-08,385
NMT2,7.155048655397895e-08,385
PIP5K1C,7.155048655397895e-08,385
PPP1R9B,7.155048655397895e-08,385
AHCYL2,7.155048655397895e-08,385
ADD2,7.155048655397895e-08,385
SNX3,7.155048655397895e-08,385
SORT1,7.155048655397895e-08,385
ATP6AP2,7.155048655397895e-08,385
CNDP2,7.155048655397895e-08,385
PCYT2,7.155048655397895e-08,385
MAPK1,7.155048655397895e-08,385
MTHFD1L,7.155048655397895e-08,385
PPP3CA,7.155048655397895e-08,385
PGM2L1,7.155048655397895e-08,385
YWHAG,7.155048655397895e-08,385
STXBP6,7.155048655397895e-08,385
ANP32E,7.155048655397895e-08,385
LYPLA1,7.155048655397895e-08,385
ANXA5,7.155048655397895e-08,385
CAPN2,7.155048655397895e-08,385
PRKAR1B,7.155048655397895e-08,385
AP2A2,7.155048655397895e-08,385
AP3D1,7.155048655397895e-08,385
AP3S1,7.155048655397895e-08,385
TMX1,7.155048655397895e-08,385
APP,7.155048655397895e-08,385
BAIAP2,7.155048655397895e-08,385
LIN7C,7.155048655397895e-08,385
ARF4,7.155048655397895e-08,385
CADPS2,7.155048655397895e-08,385
PPM1H,7.155048655397895e-08,385
ARHGAP32,7.155048655397895e-08,385
CEP170B,7.155048655397895e-08,385
OTUB1,7.155048655397895e-08,385
UBE2N,7.155048655397895e-08,385
ARL8A,7.155048655397895e-08,385
ARL8B,7.155048655397895e-08,385
SH3GL1,7.155048655397895e-08,385
ATG7,7.155048655397895e-08,385
ATL1,7.155048655397895e-08,385
ATL2,7.155048655397895e-08,385
CTNND1,7.155048655397895e-08,385
SCCPDH,7.155048655397895e-08,385
ATP1A3,7.155048655397895e-08,385
RAB18,7.155048655397895e-08,385
WFS1,7.155048655397895e-08,385
TNC,7.155048655397895e-08,385
ATXN10,7.155048655397895e-08,385
BAG5,7.155048655397895e-08,385
VAPA,7.155048655397895e-08,385
DIAPH1,7.155048655397895e-08,385
PRKCSH,7.155048655397895e-08,385
PSME2,7.155048655397895e-08,385
DDHD2,7.155048655397895e-08,385
DNM3,7.155048655397895e-08,385
NRBP2,7.155048655397895e-08,385
SH3GLB2,7.155048655397895e-08,385
SPIRE1,7.155048655397895e-08,385
DNAJA2,7.155048655397895e-08,385
PCMT1,7.155048655397895e-08,385
SOS1,7.155048655397895e-08,385
OXR1,7.155048655397895e-08,385
KIF5B,7.155048655397895e-08,385
DNAJB2,7.155048655397895e-08,385
NEO1,7.155048655397895e-08,385
COA7,7.155048655397895e-08,385
TRNT1,7.155048655397895e-08,385
COPS3,7.155048655397895e-08,385
CORO1B,7.155048655397895e-08,385
RGS10,7.155048655397895e-08,385
SCG2,7.155048655397895e-08,385
UBE2K,7.155048655397895e-08,385
PFKL,7.155048655397895e-08,385
CUL1,7.155048655397895e-08,385
CYFIP1,7.155048655397895e-08,385
PLCL2,7.155048655397895e-08,385
GDAP1,7.155048655397895e-08,385
LASP1,7.155048655397895e-08,385
DYNLRB1,7.155048655397895e-08,385
DMWD,7.155048655397895e-08,385
DMXL1,7.155048655397895e-08,385
DNAJA1,7.155048655397895e-08,385
STAM,7.155048655397895e-08,385
SNTA1,7.155048655397895e-08,385
EHD4,7.155048655397895e-08,385
ELAVL1,7.155048655397895e-08,385
WIPF2,7.155048655397895e-08,385
PSMB5,7.155048655397895e-08,385
SPATA2L,7.155048655397895e-08,385
ERGIC1,7.155048655397895e-08,385
GLG1,7.155048655397895e-08,385
FGB,7.155048655397895e-08,385
FGG,7.155048655397895e-08,385
FKBP1A,7.155048655397895e-08,385
NSFL1C,7.155048655397895e-08,385
FMNL1,7.155048655397895e-08,385
SIRPA,7.155048655397895e-08,385
FSCN1,7.155048655397895e-08,385
TANC2,7.155048655397895e-08,385
RAB3B,7.155048655397895e-08,385
RAB5B,7.155048655397895e-08,385
RAP1B,7.155048655397895e-08,385
SNPH,7.155048655397895e-08,385
GOT1,7.155048655397895e-08,385
IMPA1,7.155048655397895e-08,385
LZTS1,7.155048655397895e-08,385
HPCAL1,7.155048655397895e-08,385
MAP2K1,7.155048655397895e-08,385
HTT,7.155048655397895e-08,385
VAC14,7.155048655397895e-08,385
PGM1,7.155048655397895e-08,385
LRRC47,7.155048655397895e-08,385
TSNAX,7.155048655397895e-08,385
NECAP1,7.155048655397895e-08,385
UBA5,7.155048655397895e-08,385
PAFAH1B1,7.155048655397895e-08,385
PHGDH,7.155048655397895e-08,385
THOP1,7.155048655397895e-08,385
PI4KA,7.155048655397895e-08,385
SNX4,7.155048655397895e-08,385
SYAP1,7.155048655397895e-08,385
TPD52,7.155048655397895e-08,385
TIMM10,7.155048655397895e-08,385
TIMM9,7.155048655397895e-08,385
TRAPPC10,7.155048655397895e-08,385
TRAPPC9,7.155048655397895e-08,385
TUBB,7.155048655397895e-08,385
TUBB6,7.155048655397895e-08,385
