AP2A2 AP2B1 AP2S1,3
AP2B1 GNB1 PLP1,3
ARPC3 ARPC5 ATG7,3
ARPC3 ARPC5 CORO1A,3
ARPC3 ARPC5 COTL1,3
ARPC3 ARPC5 DBNL,3
ARPC3 ARPC5 SNX6,3
ARPC3 ARPC5 TWF2,3
ARPC3 ARPC5 WDR1,3
ARPC3 ATG7 CAP1,3
ARPC3 ATG7 CORO1A,3
ARPC3 ATG7 COTL1,3
ARPC3 ATG7 SNX6,3
ARPC3 ATG7 TWF2,3
ARPC3 CAP1 COTL1,3
ARPC3 CAP1 DBNL,3
ARPC3 CAP1 SNX6,3
ARPC3 CAP1 TWF2,3
ARPC3 CORO1A COTL1,3
ARPC3 CORO1A TWF2,3
ARPC3 DBNL TWF2,3
ARPC3 SNX6 TWF2,3
ARPC3 TWF2 WDR1,3
ARPC5 ATG7 CORO1A,3
ARPC5 ATG7 COTL1,3
ARPC5 ATG7 GIT2,3
ARPC5 ATG7 SNX2,3
ARPC5 ATG7 SNX6,3
ARPC5 ATG7 TWF2,3
ARPC5 CORO1A COTL1,3
ARPC5 CORO1A TWF2,3
ARPC5 COTL1 SH3BGRL3,3
ARPC5 DBNL SH3BGRL3,3
ARPC5 DBNL TWF2,3
ARPC5 GIT2 SNX2,3
ARPC5 GIT2 SNX6,3
ARPC5 SH3BGRL3 SNX6,3
ARPC5 SH3BGRL3 TWF2,3
ARPC5 SNX2 SNX6,3
ARPC5 SNX2 TWF2,3
ARPC5 SNX6 TWF2,3
ARPC5 TWF2 WDR1,3
ARRB1 DPYSL2 GPD1L,3
ATG7 CAP1 COTL1,3
ATG7 CAP1 SNX2,3
ATG7 CAP1 SNX6,3
ATG7 CAP1 TWF2,3
ATG7 CORO1A COTL1,3
ATG7 CORO1A TWF2,3
ATG7 GIT2 SNX2,3
ATG7 GIT2 SNX6,3
ATG7 SNX2 SNX6,3
ATG7 SNX2 TWF2,3
ATG7 SNX6 TWF2,3
ATP6V1A ATP6V1B2 ATP6V1C1,3
ATP6V1A ATP6V1B2 ATP6V1D,3
ATP6V1A ATP6V1B2 ATP6V1E1,3
ATP6V1A ATP6V1B2 ATP6V1H,3
ATP6V1A ATP6V1C1 ATP6V1D,3
ATP6V1A ATP6V1C1 ATP6V1E1,3
ATP6V1A ATP6V1C1 ATP6V1H,3
ATP6V1A ATP6V1D ATP6V1E1,3
ATP6V1A ATP6V1D ATP6V1H,3
ATP6V1A ATP6V1E1 ATP6V1H,3
ATP6V1B2 ATP6V1C1 ATP6V1D,3
ATP6V1B2 ATP6V1C1 ATP6V1E1,3
ATP6V1B2 ATP6V1C1 ATP6V1H,3
ATP6V1B2 ATP6V1D ATP6V1E1,3
ATP6V1B2 ATP6V1D ATP6V1H,3
ATP6V1B2 ATP6V1E1 ATP6V1H,3
ATP6V1C1 ATP6V1D ATP6V1E1,3
ATP6V1C1 ATP6V1D ATP6V1H,3
ATP6V1C1 ATP6V1E1 ATP6V1H,3
ATP6V1D ATP6V1E1 ATP6V1H,3
ATP6V1D ATP6V1H DMXL2,3
ATXN10 IPO9 XPO1,3
CACYBP CSE1L GMPS,3
CACYBP CSE1L PPME1,3
CACYBP CSE1L RAN,3
CACYBP CSE1L RANBP1,3
CACYBP FKBP4 GMPS,3
CACYBP FKBP4 OLA1,3
CACYBP FKBP4 PTGES3,3
CACYBP FKBP4 RAN,3
CACYBP FKBP4 RANBP1,3
CACYBP GMPS NUDC,3
CACYBP GMPS PFDN2,3
CACYBP GMPS PFDN5,3
CACYBP GMPS PTGES3,3
CACYBP GMPS RAN,3
CACYBP GMPS RANBP1,3
CACYBP NUDC PFDN5,3
CACYBP NUDC STIP1,3
CACYBP NUDC STMN1,3
CACYBP OLA1 PFDN2,3
CACYBP PFDN2 PFDN5,3
CACYBP PFDN2 PFDN6,3
CACYBP PFDN2 RANBP1,3
CACYBP PFDN2 STIP1,3
CACYBP PFDN2 STMN1,3
CACYBP PFDN5 PFDN6,3
CACYBP PFDN5 RANBP1,3
CACYBP PFDN5 STIP1,3
CACYBP PFDN5 STMN1,3
CACYBP PFDN6 STMN1,3
CACYBP PPME1 STIP1,3
CACYBP PTGES3 RANBP1,3
CACYBP RANBP1 STMN1,3
CALR HSPA5 P4HB,3
CALR HSPA5 PDIA4,3
CALR HSPA5 PRKCSH,3
CALR P4HB PDIA4,3
CANX ERGIC1 FAF2,3
CAP1 DBNL TWF2,3
CAP1 SNX2 SNX6,3
CAP1 SNX2 TWF2,3
CAP1 SNX6 TWF2,3
CCT2 CCT3 CCT4,3
CCT2 CCT3 CCT5,3
CCT2 CCT3 CCT6A,3
CCT2 CCT3 CCT7,3
CCT2 CCT3 CCT8,3
