Key_Proteins,Non_Key_Proteins
YDR389W,YHR038W
YDR510W,YHR112C
YDR526C,YHR113W
YDR527W,YHR184W
YER019C-A,YHR198C
YER029C,YJL058C
YGL069C,YJL199C
YGL084C,YJL218W
YGL171W,YJR053W
YGL225W,YJR056C
YGR172C,YJR131W
YGR294W,YJR159W
YHR172W,YKL008C
YIL063C,YKL010C
YIL137C,YKL067W
YJR123W,YKL080W
YKL111C,YKR014C
YKL144C,YLR070C
YKR037C,YLR082C
YLR009W,YLR192C
YLR051C,YLR245C
YLR066W,YLR284C
YLR379W,YLR304C
YLR397C,YLR328W
YML015C,YLR377C
YML126C,YML078W
YNL241C,YMR012W
YOR122C,YMR153W
YPR120C,YMR226C
YGL061C,YNL218W
YDR016C,YNL239W
YER016W,YNL331C
YER127W,YNL333W
YGR113W,YNR012W
YGR120C,YOR284W
YIR004W,YOR380W
YOR157C,YPL049C
YPL209C,YPL070W
YLR103C,YPL192C
YNL251C,YPL258C
YAL043C,YPR191W
YBL050W,YPR193C
YCL054W,YAL004W
YDR130C,YGL181W
YDR301W,YML109W
YDR412W,YBL007C
YER006W,YBR138C
YFL023W,YBR272C
YFR003C,YDL233W
YGL111W,YDR034C
YGR156W,YDR259C
YHR052W,YDR511W
YJR093C,YER040W
YKL018W,YER045C
YKL059C,YER047C
YKR002W,YER063W
YLR002C,YER073W
YLR115W,YER081W
YLR215C,YFR024C-A
YLR277C,YGR241C
YNL002C,YHR016C
YOR294W,YHR177W
YPR107C,YIL010W
YDL165W,YIL052C
YMR146C,YIL057C
YFR031C,YIL122W
YMR093W,YJL141C
YBR202W,YKR028W
YBR234C,YLR191W
YIL062C,YNR068C
YJR064W,YOR140W
YJR065C,YOR331C
YKL013C,YOR333C
YNR035C,YOR384W
YOR259C,YPL013C
YPR019W,YPL053C
YIL075C,YPL156C
YBL034C,YPL188W
YGL213C,YPR171W
YBR200W,YAL016W
YHR023W,YBL085W
YML068W,YCR086W
YNL243W,YDL042C
YKL108W,YDR309C
YLR323C,YEL023C
YNL088W,YER114C
YDR365C,YER115C
YIL022W,YER124C
YJL069C,YER151C
YKL095W,YHR061C
YNR017W,YHR149C
YOR174W,YJL189W
YPR015C,YKR101W
YBR087W,YMR109W
YLR371W,YMR273C
YBR079C,YNL298W
YER082C,YAL005C
YGL130W,YAR002W
YDR429C,YLR335W
YMR309C,YNL077W
YOR361C,YCL027W
YPR041W,YAR014C
YBR049C,YEL021W
YDL150W,YGL215W
YDR141C,YHR114W
YJL011C,YML058W
YKL182W,YBL047C
YKR025W,YDR101C
YLR086W,YDR335W
YNL151C,YER107C
YNR016C,YJR069C
YOR224C,YKL057C
YPL160W,YKR082W
YMR028W,YMR255W
YOR176W,YNL049C
YPR040W,YNL092W
YBL003C,YOR134W
YBL041W,YHR081W
YER094C,YAL009W
YFR050C,YBL017C
YGL011C,YBL064C
YGR253C,YBR003W
YML092C,YBR053C
YMR314W,YBR225W
YOL005C,YDL072C
YOL038W,YDR122W
YPR103W,YER052C
YJL194W,YER132C
YPR055W,YGL197W
YFR029W,YGR037C
YOL069W,YGR131W
YDR188W,YGR227W
YDR212W,YGR255C
YDR381W,YIL009W
YJL014W,YIL082W-A
YKL042W,YIL159W
YNL222W,YIL173W
YDR356W,YJR030C
YKL045W,YLL024C
YML025C,YLR019W
YFR002W,YMR139W
YJL039C,YMR156C
YJL041W,YMR189W
YNL172W,YMR275C
YPL169C,YNL025C
YGL189C,YNL229C
YGR048W,YNL231C
YHR098C,YNL307C
YJL195C,YNR037C
YJR023C,YNR064C
YER008C,YOR013W
YGL120C,YOR156C
YHR072W,YPL038W
YIL143C,YPL100W
YDR050C,YPR023C
YDL031W,YDL088C
YDR299W,YDL213C
YKL014C,YDR256C
YKL203C,YEL054C
YNL132W,YER011W
YOL078W,YFR047C
YPR143W,YGL037C
YGL112C,YGL175C
YLR117C,YIL033C
YNL075W,YIL045W
YNL267W,YIL149C
YGR278W,YKR048C
YPR137W,YML007W
YBR253W,YMR125W
YDL087C,YNL323W
YDR044W,YOL143C
YDR145W,YOR185C
YER148W,YOR304W
YGR264C,YPL089C
YML098W,YPL178W
YMR227C,YPR018W
YMR236W,YER103W
YOL135C,YIR040C
YNL118C,YJL057C
YBL023C,YAL040C
YDL007W,YHR120W
YDR052C,YKL161C
YGR099W,YLL026W
YJR089W,YLR433C
YOR117W,YMR137C
YMR296C,YOL108C
YBR192W,YOL145C
YDL217C,YAL055W
YDR416W,YBL058W
YER159C,YBL079W
YFR027W,YBR126C
YGL018C,YDR132C
YGL030W,YHR129C
YGL236C,YJR001W
YGR114C,YKL020C
YJL010C,YKL061W
YJL012C,YKR064W
YJL086C,YLL001W
YJL174W,YMR096W
YLR105C,YMR271C
YLR127C,YOL070C
YOR281C,YPL174C
YPL063W,YPR172W
YPR094W,YGL070C
YGL166W,YJL140W
YER112W,YJR110W
YOL149W,YLR384C
YDL003W,YLR418C
YDL008W,YPR093C
YDR118W,YOL004W
YDR432W,YDL190C
YFL008W,YDR283C
YMR076C,YIR042C
YNL225C,YJR032W
YBL035C,YKL117W
YHR089C,YLR362W
YBR038W,YOR005C
YBR060C,YOR027W
YBR102C,YJR063W
YBR135W,YKL213C
YDL089W,YNL030W
YDR123C,YAL007C
YEL032W,YAR002C-A
YFL029C,YBR036C
YGL075C,YBR183W
YGR186W,YCL025C
YHR118C,YDL054C
YHR164C,YEL063C
YIL031W,YGL200C
YLL003W,YHR026W
YLR045C,YHR110W
YLR182W,YHR140W
YLR223C,YJL117W
YLR457C,YLR342W
YMR005W,YML012W
YNL102W,YNL130C
YOR075W,YPL264C
YOR372C,YPR201W
YDR208W,YGR132C
YLR240W,YJR091C
YDR002W,YAL018C
YDR378C,YBR159W
YGR158C,YBR161W
YIL048W,YCR034W
YKL173W,YDR276C
YLR438C-A,YDR307W
YNL163C,YEL027W
YNR052C,YGL051W
YKL139W,YGR284C
YDR376W,YHL003C
YPL011C,YIL016W
YFR052W,YIL114C
YJL050W,YJL196C
YPR088C,YJL214W
YML091C,YJR117W
YFR051C,YKL065C
YDR460W,YLL048C
YOR233W,YLR018C
YGL014W,YLR372W
YIR008C,YML048W
YMR131C,YMR215W
