YAL007C YHR110W YNL130C,3
YAL007C YHR140W YJL117W,3
YAL007C YHR140W YPL076W,3
YAL007C YHR140W YPL264C,3
YAL007C YJL117W YPL076W,3
YAL007C YJL117W YPL264C,3
YAL007C YPL076W YPL264C,3
YAL011W YDR225W YGR002C,3
YAL011W YDR334W YGR002C,3
YAL011W YDR334W YNL107W,3
YAL011W YDR334W YOL012C,3
YAL011W YGR002C YNL107W,3
YAL011W YGR002C YOL012C,3
YAL011W YHR158C YOR269W,3
YAL011W YNL107W YOL012C,3
YAL015C YBR020W YCL018W,3
YAL015C YBR020W YDL059C,3
YAL015C YBR020W YPR110C,3
YAL015C YBR127C YDL029W,3
YAL015C YBR127C YDL059C,3
YAL015C YBR127C YPR110C,3
YAL015C YCL018W YDL029W,3
YAL015C YCL018W YDL059C,3
YAL015C YCL018W YPR110C,3
YAL015C YCL064C YDL029W,3
YAL015C YDL029W YFL037W,3
YAL015C YDL029W YGR282C,3
YAL015C YDL029W YJL066C,3
YAL015C YDL029W YJL088W,3
YAL015C YDL029W YJR045C,3
YAL015C YDL029W YJR077C,3
YAL015C YDL029W YML085C,3
YAL015C YDL029W YMR058W,3
YAL015C YDL059C YDR214W,3
YAL015C YDL059C YEL030W,3
YAL015C YDL059C YEL060C,3
YAL015C YDL059C YFL037W,3
YAL015C YDL059C YFL039C,3
YAL015C YDL059C YGR282C,3
YAL015C YDL059C YJL088W,3
YAL015C YDL059C YJR045C,3
YAL015C YDL059C YML085C,3
YAL015C YDL059C YMR214W,3
YAL015C YDR214W YPR110C,3
YAL015C YFL037W YML085C,3
YAL015C YFL037W YPR110C,3
YAL015C YFL039C YPR110C,3
YAL015C YGR282C YJR068W,3
YAL015C YJL066C YJR068W,3
YAL015C YJL066C YPR110C,3
YAL015C YJL088W YJR068W,3
YAL015C YJL088W YPR110C,3
YAL015C YJR045C YJR068W,3
YAL015C YJR045C YPR110C,3
YAL015C YML085C YPR110C,3
YAL016W YAL024C YHR158C,3
YAL016W YDL134C YDL188C,3
YAL016W YDL134C YGL190C,3
YAL016W YDL134C YGR161C,3
YAL016W YDL134C YHR135C,3
YAL016W YDL134C YOR014W,3
YAL016W YDL134C YPL152W,3
YAL016W YDL188C YGL190C,3
YAL016W YDL188C YGR161C,3
YAL016W YDL188C YHR135C,3
YAL016W YDL188C YML109W,3
YAL016W YDL188C YMR273C,3
YAL016W YDL188C YOR014W,3
YAL016W YFR024C-A YFR040W,3
YAL016W YFR024C-A YMR109W,3
YAL016W YFR040W YLR191W,3
YAL016W YGL190C YGR161C,3
YAL016W YGL190C YHR082C,3
YAL016W YGL190C YJL020C,3
YAL016W YGL190C YLR191W,3
YAL016W YGL190C YML109W,3
YAL016W YGL190C YMR109W,3
YAL016W YGL190C YMR273C,3
YAL016W YGL190C YNR032W,3
YAL016W YHR082C YJL020C,3
YAL016W YJL020C YLR191W,3
YAL016W YJL020C YMR109W,3
YAL016W YML109W YMR109W,3
YAL016W YML109W YMR273C,3
YAL016W YMR109W YOL113W,3
YAL017W YDR099W YER054C,3
YAL017W YDR099W YER133W,3
YAL017W YER054C YER133W,3
YAL017W YER054C YLR258W,3
YAL017W YER054C YPR160W,3
YAL017W YER133W YFR053C,3
YAL017W YER133W YKL035W,3
YAL017W YER133W YLR258W,3
YAL017W YER133W YPR160W,3
YAL017W YKL035W YOL045W,3
YAL018C YBR036C YHR026W,3
YAL018C YCL025C YHR026W,3
YAL018C YDL017W YMR001C,3
YAL018C YDR331W YHR026W,3
YAL018C YHR026W YLL028W,3
YAL018C YHR026W YLR034C,3
YAL021C YBL099W YGR092W,3
YAL021C YBL099W YJR121W,3
YAL021C YBL099W YKR036C,3
YAL021C YBR020W YCL018W,3
YAL021C YBR020W YKR036C,3
YAL021C YBR072W YGR092W,3
YAL021C YBR072W YKR036C,3
YAL021C YBR127C YKR036C,3
YAL021C YCL018W YKR036C,3
YAL021C YCL028W YNL064C,3
YAL021C YCR093W YDL165W,3
YAL021C YCR093W YDR443C,3
YAL021C YCR093W YER068W,3
YAL021C YCR093W YGR134W,3
